"primary_keyword","position","location","salary_min","experience_years","english_level","employment","pokes"
QA Automation,Senior QA Automation Engineer,Киев,2800,4,intermediate,fulltime remote relocate,1
QA Automation,Senior QA Engineer,Харьков,3500,8,intermediate,fulltime remote freelance relocate,13
QA Automation,Senior/Lead Automation QA Engineer (C#),Львов,2800,8,upper,fulltime remote freelance move relocate,16
QA Automation,Lead/Senior  QA Automation Engineer,Киев,5000,7,intermediate,fulltime remote freelance,63
QA Automation,Senior/Lead QA Automation Engineer,Львов,2600,4,intermediate,fulltime remote,1
QA Automation,QA Lead, Senior Automation Software Engineer,Киев,3800,5,upper,fulltime remote,15
QA Automation,Automation QA Middle/Senior,Киев,2000,4,intermediate,fulltime relocate,1
QA Automation,Senior QA Automation Engineer / Automation Team Lead,Киев,3600,7,upper,fulltime remote freelance,30
QA Automation,Senior QA Engineer,Киев,3000,5,upper,fulltime remote relocate,20
QA Automation,Senior Automation QA Engineer,Kiev,3500,7,intermediate,fulltime remote freelance,1
QA Automation,Senior QA Automation Engineer,Киев,3800,6,upper,fulltime remote,22
QA Automation,Lead/Senior QA Automation Engineer (Java),Киев,4200,4,fluent,fulltime remote freelance,57
QA Automation,Senior Test Automation Engineer, QA Lead,Львов,4000,7,upper,fulltime remote,27
QA Automation,Senior QA Automation Engineer,Киев,3200,3,upper,fulltime remote,26
QA Automation,Senior QA automation Engineer,Киев,2800,6,intermediate,fulltime remote,1
QA Automation,Senior QA Automation Engineer,Одесса, remote,4500,8,fluent,remote freelance,12
QA Automation,Senior QA Automation Engineer,Киев,3000,6,fluent,fulltime remote freelance,1
QA Automation,Lead/Senior Software Test Automation Engineer,Киев,4000,5,intermediate,fulltime remote,6
QA Automation,Senior QA Automation Engineer,Харьков,3500,4,upper,fulltime move relocate,16
QA Automation,QA Lead / Senior QA Engineer / Automation QA,Киев,4300,8,intermediate,fulltime,47
QA Automation,Senior .NET QA Automation Engineer,Kyiv,3500,3,intermediate,fulltime,1
QA Automation,Senior QA Automation Engineer,Харьков,2000,2,upper,fulltime remote,1
QA Automation,Lead/Senior QA Automation Engineer,Киев,3800,4,intermediate,fulltime,1
QA Automation,Senior QA automation engineer(Python),Киев,2600,5,upper,fulltime remote freelance relocate,15
QA Automation,Senior Automation QA Engineer / SDET / QA Automation Lead,Киев,4500,15,upper,fulltime remote relocate,21
QA Automation,Automation QA / Senior Automation QA,Киев,3000,6,fluent,fulltime remote,3
QA Automation,Senior QA Engineer,Киев,4200,4,fluent,fulltime,52
QA Automation,QA Team Lead, QA Engineer (senior manual / UI automation),Днепр,2700,5,intermediate,fulltime,37
QA Automation,Lead/Senior Test Automation Engineer or SDET, Python,Київ,5000,15,fluent,fulltime,7
QA Automation,Senior Automation QA Engineer,Киев,4000,5,upper,fulltime remote freelance relocate,72
QA Automation,Senior QA Engineer with Automation/ QA Lead,relocate, Canada / US,3000,5,upper,fulltime relocate,33
QA Automation,Senior QA Automation Engineer,Киев,3500,6,fluent,fulltime,27
QA Automation,QA Lead || Senior Automation QA,Харьков,3200,7,fluent,fulltime remote,50
QA Automation,Lead/Senior QA Automation,Dnipro,2500,6,upper,remote,5
QA Automation,Senior QA Engineer/SDET,Киев,4000,4,intermediate,fulltime remote move,38
QA Automation,Senior QA Automation Engineer,Киев,3500,7,fluent,fulltime remote relocate,110
QA Automation,Senior QA Engineer manual/automation,Киев,2800,6,fluent,fulltime relocate,69
QA Automation,QA Lead, Senior Automation Engineer,Харьков,3000,6,fluent,fulltime remote freelance,10
QA Automation,Middle/Senior Automation/Performance Test engineer,Днепр, Одесса, Львов,3300,3,intermediate,fulltime remote relocate,50
QA Automation,Senior / Lead Automation QA,Киев,4000,10,upper,fulltime remote,36
